Front;;Back;;Tags
The thing is…;;The thing is, I don’t have enough money right now.<br>The thing is, nobody told me about the change.<br>The thing is, I’m really bad at directions.<br>The thing is, we’re already late.<br>The thing is, my phone died.;;4-Storytelling
What happened was…;;What happened was, I missed the bus and arrived late.<br>What happened was, the shop was closed when I got there.<br>What happened was, someone took my seat on the train.<br>What happened was, I forgot my lines on stage.<br>What happened was, the cake fell on the floor.;;4-Storytelling
The other day…;;The other day I ran into my old teacher.<br>The other day I found twenty pounds on the street.<br>The other day my boss shouted at me.<br>The other day I tried sushi for the first time.<br>The other day I got completely lost in London.;;4-Storytelling
A while back…;;A while back I lived in Spain for a year.<br>A while back I broke my leg skiing.<br>A while back I worked in a restaurant.<br>A while back I dyed my hair blue.<br>A while back I quit smoking.;;4-Storytelling
I remember when…;;I remember when phones had wires.<br>I remember when Netflix sent DVDs in the post.<br>I remember when I failed my driving test three times.<br>I remember when we stayed up all night talking.<br>I remember when I first met you.;;4-Storytelling
It all started when…;;It all started when I clicked that wrong link.<br>It all started when I missed my flight.<br>It all started when she smiled at me.<br>It all started when I bought that lottery ticket.<br>It all started when the alarm didn’t go off.;;4-Storytelling
Out of the blue…;;Out of the blue, my ex texted me.<br>Out of the blue, it started snowing.<br>Out of the blue, I got offered the job.<br>Out of the blue, the car broke down.<br>Out of the blue, she said yes.;;4-Storytelling
All of a sudden…;;All of a sudden, the lights went out.<br>All of a sudden, everyone started clapping.<br>All of a sudden, I felt really dizzy.<br>All of a sudden, it started pouring with rain.<br>All of a sudden, my phone rang.;;4-Storytelling
Before I knew it…;;Before I knew it, the whole day was gone.<br>Before I knew it, I’d eaten the entire cake.<br>Before I knew it, I was crying.<br>Before I knew it, we were lost.<br>Before I knew it, it was midnight.;;4-Storytelling
The next thing I knew…;;The next thing I knew, I was in hospital.<br>The next thing I knew, everyone was laughing at me.<br>The next thing I knew, the police were there.<br>The next thing I knew, I’d won.<br>The next thing I knew, he was gone.;;4-Storytelling
As it turned out…;;As it turned out, he was right all along.<br>As it turned out, the meeting was cancelled.<br>As it turned out, she already knew.<br>As it turned out, it was much cheaper online.<br>As it turned out, nobody came.;;4-Storytelling
In the end…;;In the end, we decided to stay home.<br>In the end, everything worked out fine.<br>In the end, I got the job.<br>In the end, we missed the train.<br>In the end, she said yes.;;4-Storytelling
To cut a long story short…;;To cut a long story short, I got fired.<br>To cut a long story short, we got married.<br>To cut a long story short, I passed.<br>To cut a long story short, the car broke down.<br>To cut a long story short, he apologised.;;4-Storytelling
Long story short…;;Long story short, we missed the flight.<br>Long story short, I quit.<br>Long story short, they broke up.<br>Long story short, I won £100.<br>Long story short, nobody showed up.;;4-Storytelling
Anyway…;;Anyway, I was saying I’m moving next month.<br>Anyway, where were we?<br>Anyway, let’s go back to the plan.<br>Anyway, I ended up buying the red one.<br>Anyway, enough about me – how are you?;;4-Storytelling
So basically…;;So basically, the project failed.<br>So basically, we’re broke.<br>So basically, I’m single again.<br>So basically, I’m moving to Canada.<br>So basically, nobody listened.;;4-Storytelling
That reminds me…;;That reminds me, I need to call my mum.<br>That reminds me, did you return the book?<br>That reminds me, I owe you twenty pounds.<br>That reminds me, we’re out of milk.<br>That reminds me, happy birthday!;;4-Storytelling
Speaking of which…;;Speaking of which, have you seen John lately?<br>Speaking of which, I brought cake.<br>Speaking of which, how’s your new job?<br>Speaking of which, it’s your turn to pay.<br>Speaking of which, where’s my phone?;;4-Storytelling
Back to what I was saying…;;Back to what I was saying, we need a new plan.<br>Back to what I was saying, the food was awful.<br>Back to what I was saying, she never replied.<br>Back to what I was saying, I quit.<br>Back to what I was saying, let’s go.;;4-Storytelling
Where was I?;;Where was I? Oh yes, the day of the interview…<br>Where was I? Right, the car broke down…<br>Where was I? Yeah, then he started crying…<br>Where was I? Ah, the part about the money…<br>Where was I? Anyway, we got there late…;;4-Storytelling
I’ll never forget the time…;;I’ll never forget the time we got stuck in the lift.<br>I’ll never forget the time I met Beyoncé.<br>I’ll never forget the time I failed my exam.<br>I’ll never forget the time we missed the last train.<br>I’ll never forget the time he proposed.;;4-Storytelling
There was this one time…;;There was this one time I accidentally dyed my hair green.<br>There was this one time I called my teacher “Mum”.<br>There was this one time I got locked out naked.<br>There was this one time I won £500.<br>There was this one time I fell off the stage.;;4-Storytelling
You won’t believe this, but…;;You won’t believe this, but I saw your ex yesterday.<br>You won’t believe this, but I quit my job.<br>You won’t believe this, but I’m moving to Japan.<br>You won’t believe this, but I’m getting married.<br>You won’t believe this, but I passed!;;4-Storytelling
