Front;;Back;;Tags
Well…;;Well, I’m not really sure what to say.<br>Well, maybe we can try again tomorrow.<br>Well, that’s one way of looking at it.<br>Well, it depends on the weather.<br>Well, let’s see what happens.;;9-Hesitation
You know…;;It’s, you know, kind of hard to explain.<br>She’s, you know, always late.<br>The film was, you know, really good.<br>He’s, you know, not very reliable.<br>It’s, you know, a long story.;;9-Hesitation
I mean…;;It’s not bad, I mean, it could be worse.<br>I was tired, I mean, really exhausted.<br>He’s nice, I mean, most of the time.<br>It’s far, I mean, about two hours.<br>I don’t hate it, I mean, it’s okay.;;9-Hesitation
Let me think…;;Let me think… yes, I can come Friday.<br>Let me think… no, I’ve never been there.<br>Let me think… about eight o’clock?<br>Let me think… maybe next week.<br>Let me think… actually, I’m not sure.;;9-Hesitation
Um…;;Um… I think it was last year?<br>Um… can you repeat the question?<br>Um… I’m not really sure.<br>Um… maybe around seven?<br>Um… let me check my phone.;;9-Hesitation
Uh…;;Uh… could you say that again?<br>Uh… I don’t remember the name.<br>Uh… I think it’s on the left?<br>Uh… give me a second.<br>Uh… that’s a good question.;;9-Hesitation
Hmm…;;Hmm… that’s an interesting idea.<br>Hmm… I’m not completely convinced.<br>Hmm… let me see the menu again.<br>Hmm… maybe we should wait.<br>Hmm… yes, I think you’re right.;;9-Hesitation
Let’s see…;;Let’s see… I have three options.<br>Let’s see… tomorrow at six?<br>Let’s see… that was 2019, I think.<br>Let’s see… maybe the blue one?<br>Let’s see… yes, I can make it.;;9-Hesitation
How can I put it…;;How can I put it… it’s not exactly cheating.<br>How can I put it… I just don’t like him.<br>How can I put it… it’s complicated.<br>How can I put it… you’re too nice.<br>How can I put it… it’s kind of weird.;;9-Hesitation
It’s hard to say…;;It’s hard to say if it’ll rain tomorrow.<br>It’s hard to say who’s going to win.<br>It’s hard to say how long it will take.<br>It’s hard to say why she left.<br>It’s hard to say what he’s thinking.;;9-Hesitation
I’m not sure…;;I’m not sure if I turned off the oven.<br>I’m not sure what time the film starts.<br>I’m not sure whether to go or stay.<br>I’m not sure that’s a good idea.<br>I’m not sure I remember correctly.;;9-Hesitation
It depends…;;It depends on the traffic.<br>It depends how tired I am.<br>It depends what time you finish.<br>It depends on the price.<br>It depends who’s coming.;;9-Hesitation
Kind of…;;Do you like it? — Kind of.<br>It’s kind of cold in here.<br>I kind of forgot, sorry.<br>She’s kind of shy at first.<br>It works, kind of.;;9-Hesitation
Sort of…;;I sort of understand what you mean.<br>It’s sort of working now.<br>He sort of smiled, but not really.<br>The weather’s sort of okay.<br>I sort of remember her name.;;9-Hesitation
More or less…;;Have you finished? — More or less.<br>It’s more or less the same price.<br>I more or less agree with you.<br>We’re more or less ready.<br>The translation is more or less correct.;;9-Hesitation
To some extent…;;To some extent, you’re right.<br>To some extent, it’s my fault.<br>To some extent, money does buy happiness.<br>To some extent, luck plays a part.<br>To some extent, we all make mistakes.;;9-Hesitation
In a sense…;;In a sense, we’re all beginners.<br>In a sense, failing is good.<br>In a sense, he never grew up.<br>In a sense, it’s already too late.<br>In a sense, silence is an answer.;;9-Hesitation
As it were…;;He became, as it were, our leader.<br>It’s a prison, as it were, of our own making.<br>She’s the boss, as it were.<br>We’re trapped, as it were, by routine.<br>He’s a king, as it were, in his own house.;;9-Hesitation
So to speak…;;We’re all in the same boat, so to speak.<br>He’s the big cheese, so to speak.<br>It’s a jungle out there, so to speak.<br>She’s rolling in it, so to speak.<br>I’m dead tired, so to speak.;;9-Hesitation
Like…;;It’s, like, the best feeling ever.<br>I was, like, totally shocked.<br>He’s, like, really tall.<br>She was, like, “No way!”<br>It costs, like, a thousand pounds.;;9-Hesitation
