Front;;Back;;Tags
But…;;I tried calling, but your phone was off.<br>It’s expensive, but worth it.<br>I studied hard, but still failed.<br>We wanted to go, but it rained.<br>I’m tired, but I’ll finish this.;;7-Contrast
However…;;I practised a lot. However, I still lost.<br>It looks easy. However, it’s really tricky.<br>We planned everything. However, something went wrong.<br>She’s young. However, she’s very experienced.<br>The hotel was cheap. However, it was awful.;;7-Contrast
On the other hand…;;The pay is good. On the other hand, the hours are long.<br>Summer is hot. On the other hand, winter is freezing.<br>Cats are independent. On the other hand, dogs need walks.<br>Trains are fast. On the other hand, planes are faster.<br>Working from home is quiet. On the other hand, you miss people.;;7-Contrast
Having said that…;;It’s expensive. Having said that, the quality is excellent.<br>He’s lazy. Having said that, he’s very clever.<br>The film was long. Having said that, I loved it.<br>It rained all day. Having said that, we had fun.<br>Traffic is terrible. Having said that, I still love the city.;;7-Contrast
That said…;;He’s difficult to work with. That said, he gets results.<br>It’s far away. That said, the view is amazing.<br>The job pays little. That said, I enjoy it.<br>She talks a lot. That said, she’s funny.<br>It’s risky. That said, it could be worth it.;;7-Contrast
Even so…;;It was raining hard. Even so, we went for a walk.<br>The price is high. Even so, I’ll buy it.<br>He apologised. Even so, I’m still upset.<br>It’s late. Even so, I’ll wait.<br>I’m tired. Even so, I’ll help you.;;7-Contrast
Still…;;I don’t earn much. Still, I manage to save.<br>It’s cold outside. Still, I’ll go running.<br>He’s annoying. Still, he’s my brother.<br>The film was bad. Still, the popcorn was good.<br>I failed once. Still, I’ll try again.;;7-Contrast
Though…;;It was expensive, though worth every penny.<br>He’s shy, though very kind.<br>The journey was long, though enjoyable.<br>It rained, though not heavily.<br>She complained, though smiled afterwards.;;7-Contrast
Although…;;Although it was cold, we went swimming.<br>Although she’s young, she’s the boss.<br>Although I studied, I forgot everything.<br>Although he’s rich, he’s not happy.<br>Although tired, I finished the work.;;7-Contrast
Whereas…;;I love coffee, whereas she prefers tea.<br>Some people exercise daily, whereas others never do.<br>City life is exciting, whereas the countryside is peaceful.<br>He speaks slowly, whereas she talks very fast.<br>Summer is hot, whereas winter is freezing.;;7-Contrast
While…;;While I like the design, I hate the colour.<br>While some enjoy parties, others prefer quiet nights.<br>While the book was brilliant, the film was terrible.<br>While he’s loud, his brother is shy.<br>While prices rose, salaries stayed the same.;;7-Contrast
Despite…;;Despite the rain, we had a great picnic.<br>Despite studying hard, she failed.<br>Despite being tired, he kept working.<br>Despite the traffic, we arrived on time.<br>Despite warnings, they went anyway.;;7-Contrast
In spite of…;;In spite of the cold, we went camping.<br>In spite of his age, he runs marathons.<br>In spite of the noise, I slept well.<br>In spite of bad reviews, I loved the film.<br>In spite of feeling ill, she came to the party.;;7-Contrast
Mind you…;;It’s a nice hotel. Mind you, it’s very expensive.<br>He’s clever. Mind you, he’s lazy too.<br>The food was good. Mind you, the service was slow.<br>She’s friendly. Mind you, she can be bossy.<br>It’s sunny today. Mind you, it might rain later.;;7-Contrast
At the same time…;;I want to help, at the same time I’m very busy.<br>It’s stressful, at the same time exciting.<br>He’s annoying, at the same time funny.<br>It saves money, at the same time takes longer.<br>I love the city, at the same time I miss nature.;;7-Contrast
Nevertheless…;;The journey was awful. Nevertheless, we made it.<br>It cost a fortune. Nevertheless, I bought it.<br>Everyone said no. Nevertheless, I tried.<br>It was risky. Nevertheless, it worked.<br>He was wrong. Nevertheless, I forgave him.;;7-Contrast
Nonetheless…;;It was late. Nonetheless, she called.<br>The reviews were bad. Nonetheless, we went.<br>It rained all day. Nonetheless, we enjoyed it.<br>He’s difficult. Nonetheless, he’s talented.<br>Prices are high. Nonetheless, sales are good.;;7-Contrast
Yet…;;He has money, yet he’s not happy.<br>It looks easy, yet it’s really hard.<br>She studied hard, yet failed the exam.<br>It’s small, yet very comfortable.<br>He apologised, yet I’m still upset.;;7-Contrast
All the same…;;It might rain. All the same, I’ll go.<br>He warned me. All the same, I did it.<br>It’s expensive. All the same, I love it.<br>She said no. All the same, I asked again.<br>It was cold. All the same, we swam.;;7-Contrast
Be that as it may…;;Be that as it may, we still need to finish by Friday.<br>Be that as it may, rules are rules.<br>Be that as it may, I’m not changing my mind.<br>Be that as it may, the meeting starts at nine.<br>Be that as it may, you’re still coming.;;7-Contrast
Conversely…;;Some love cities. Conversely, others prefer villages.<br>Exercise energises me. Conversely, it exhausts him.<br>I work best mornings. Conversely, she’s a night owl.<br>Tea calms me. Conversely, coffee wakes me up.<br>He spends everything. Conversely, she saves.;;7-Contrast
By contrast…;;Last year was warm. By contrast, this winter is freezing.<br>She’s outgoing. By contrast, he’s very quiet.<br>Trains are cheap. By contrast, planes are expensive.<br>Mondays are busy. By contrast, Sundays are relaxed.<br>The book was brilliant. By contrast, the film was awful.;;7-Contrast
Then again…;;It saves money. Then again, it takes more time.<br>It’s healthy. Then again, it tastes terrible.<br>It’s quiet here. Then again, nothing ever happens.<br>Summer is fun. Then again, it’s too hot.<br>He’s clever. Then again, he never studies.;;7-Contrast
On second thought…;;Let’s go out… On second thought, I’m too tired.<br>I’ll have dessert… On second thought, no thanks.<br>We’ll take the train… On second thought, let’s drive.<br>I’ll call him… On second thought, maybe tomorrow.<br>Red looks good… On second thought, I’ll take blue.;;7-Contrast
Actually…;;I thought I’d hate it. Actually, I loved it.<br>I was going to bed. Actually, I’ll finish this first.<br>It looks difficult. Actually, it’s quite easy.<br>I don’t like coffee. Actually, I love espresso.<br>I was angry. Actually, I’m just disappointed.;;7-Contrast
