Front;;Back;;Tags
And then…;;We had breakfast, and then went to the beach.<br>I finished work, and then hit the gym.<br>She called me, and then started crying.<br>We got lost, and then found the perfect café.<br>He apologised, and then everything was fine.;;12-Connecting
After that…;;I graduated, after that I travelled for a year.<br>We ate dinner, after that we watched a film.<br>She left, after that the party got boring.<br>I paid the bill, after that we left.<br>He explained, after that I understood.;;12-Connecting
Before that…;;I lived in Tokyo. Before that, Osaka.<br>We went to Paris. Before that, London.<br>I worked in banking. Before that, teaching.<br>She was married. Before that, engaged for years.<br>I was vegetarian. Before that, a total carnivore.;;12-Connecting
Meanwhile…;;I’ll cook dinner; meanwhile, set the table.<br>She’s studying; meanwhile, he’s playing games.<br>The kids are sleeping; meanwhile, we can talk.<br>Wait here; meanwhile, I’ll get the car.<br>It’s downloading; meanwhile, have some tea.;;12-Connecting
At the same time…;;It’s expensive, at the same time beautiful.<br>I was laughing and crying at the same time.<br>She’s shy, at the same time very kind.<br>Turn left and right at the same time – impossible!<br>We arrived and left at the same time.;;12-Connecting
Later on…;;We got lost, later on found the hotel.<br>It was hard at first, later on much easier.<br>He was rude, later on apologised.<br>I hated it, later on loved it.<br>She was quiet, later on opened up.;;12-Connecting
Eventually…;;We kept trying and eventually succeeded.<br>After three buses, we eventually got home.<br>She ignored me, eventually said sorry.<br>Prices rose, eventually became unaffordable.<br>He saved money and eventually bought a house.;;12-Connecting
In the meantime…;;The kettle’s boiling; in the meantime, get the cups.<br>It’s loading; in the meantime, grab a snack.<br>Dinner’s cooking; in the meantime, relax.<br>She’s parking; in the meantime, order drinks.<br>The film’s starting; in the meantime, buy popcorn.;;12-Connecting
First of all…;;First of all, thank you for coming.<br>First of all, we need to save money.<br>First of all, turn off your phones.<br>First of all, let me explain the rules.<br>First of all, happy birthday!;;12-Connecting
To start with…;;To start with, let’s look at the budget.<br>To start with, I’d like to apologise.<br>To start with, who wants coffee?<br>To start with, the weather was awful.<br>To start with, I was really nervous.;;12-Connecting
Secondly…;;Secondly, we need more time.<br>Secondly, the cost is too high.<br>Secondly, nobody agreed.<br>Secondly, it’s not safe.<br>Secondly, I’m exhausted.;;12-Connecting
Next…;;Next, add the eggs and stir.<br>Next, we visit the museum.<br>Next question, please.<br>Next, turn left at the lights.<br>Next, I need a holiday!;;12-Connecting
Then…;;First clean the room, then relax.<br>Press enter, then wait.<br>Call me, then we’ll meet.<br>Finish this, then dessert.<br>Save the file, then close it.;;12-Connecting
After…;;After the film, we went for drinks.<br>After work, I go running.<br>After lunch, we have a meeting.<br>After Monday comes Tuesday.<br>After you – please go first.;;12-Connecting
Before…;;Check your bag before leaving.<br>Think before you speak.<br>Wash your hands before dinner.<br>Call me before you decide.<br>Save everything before shutting down.;;12-Connecting
While…;;While you were out, someone called.<br>While I cook, you set the table.<br>While it’s cheap, buy two.<br>While we wait, let’s chat.<br>While the sun shines, let’s go!;;12-Connecting
As soon as…;;Call me as soon as you arrive.<br>I’ll leave as soon as it stops raining.<br>As soon as I get paid, I’m shopping.<br>Eat as soon as it’s ready.<br>Tell me as soon as you know.;;12-Connecting
Once…;;Once you try it, you’ll love it.<br>Once I finish this, I’m free.<br>Once she starts talking, she never stops.<br>Once is enough – never again!<br>Once upon a time…;;12-Connecting
When…;;When I get home, I’m sleeping.<br>When you’re ready, we’ll go.<br>When I was your age…<br>When it rains, it pours.<br>When hell freezes over!;;12-Connecting
Until…;;Wait until I say go.<br>Don’t open it until Christmas.<br>I won’t relax until it’s finished.<br>Stay here until I come back.<br>We’re open until 10 p.m.;;12-Connecting
Soon after…;;Soon after we arrived, it started raining.<br>Soon after lunch, I felt sleepy.<br>Soon after moving in, we painted everything.<br>Soon after midnight, the party ended.<br>Soon after saying goodbye, I missed them.;;12-Connecting
Right after…;;Right after breakfast, we left.<br>Right after the meeting, call me.<br>Right after paying, it broke.<br>Right after summer comes autumn.<br>Right after “hello” he asked for money.;;12-Connecting
Ever since…;;Ever since Monday, it’s been raining.<br>Ever since the accident, I drive slowly.<br>Ever since I met you, I’m happier.<br>Ever since lockdown, I bake bread.<br>Ever since then, I check twice.;;12-Connecting
From then on…;;From then on, I never missed a class.<br>From then on, we were best friends.<br>From then on, everything changed.<br>From then on, I trusted no one.<br>From then on, I always carry an umbrella.;;12-Connecting
Up until then…;;Up until then, I had no idea.<br>Up until then, everything was perfect.<br>Up until then, I loved my job.<br>Up until then, we were winning.<br>Up until then, I believed him.;;12-Connecting
Soon afterwards…;;We got married, soon afterwards had kids.<br>He left, soon afterwards the problems started.<br>The storm passed, soon afterwards the sun came out.<br>I sent the email, soon afterwards got a reply.<br>The film ended, soon afterwards we went home.;;12-Connecting
In the following years…;;In the following years, the city grew rapidly.<br>In the following years, I travelled a lot.<br>In the following years, everything changed.<br>In the following years, we stayed in touch.<br>In the following years, prices doubled.;;12-Connecting
