Front;;Back;;Tags
244. Really?;;You quit your job? Really?<br>You met Tom Cruise? Really?<br>It’s snowing in May? Really?<br>You ran a marathon? Really?<br>You’re moving to Japan? Really?;;11-Social
245. No way!;;You won the lottery? No way!<br>You saw a UFO? No way!<br>You’re getting married? No way!<br>You finished the project already? No way!<br>You ate the whole pizza? No way!;;11-Social
246. You’re kidding!;;You’re moving to New York? You’re kidding!<br>You failed the test? You’re kidding!<br>You’re 30 already? You’re kidding!<br>You met the Queen? You’re kidding!<br>You’re pregnant? You’re kidding!;;11-Social
247. That’s awesome!;;You got the job? That’s awesome!<br>You’re coming to the party? That’s awesome!<br>New car? That’s awesome!<br>You passed the exam? That’s awesome!<br>Free tickets? That’s awesome!;;11-Social
248. That’s amazing!;;You climbed Everest? That’s amazing!<br>You speak five languages? That’s amazing!<br>You made this cake? That’s amazing!<br>You’re going to space? That’s amazing!<br>You won £1 million? That’s amazing!;;11-Social
249. That sucks.;;Your flight got cancelled? That sucks.<br>You lost your phone? That sucks.<br>Raining on your birthday? That sucks.<br>Team lost again? That sucks.<br>You’re sick today? That sucks.;;11-Social
250. Fair enough.;;You don’t eat meat? Fair enough.<br>You want to stay in? Fair enough.<br>You hate horror films? Fair enough.<br>You’re taking the train? Fair enough.<br>You’re not drinking tonight? Fair enough.;;11-Social
251. You know what I mean?;;It’s super annoying, you know what I mean?<br>Some people are so rude, you know what I mean?<br>Traffic was crazy, you know what I mean?<br>Work is stressful, you know what I mean?<br>It’s just not fair, you know what I mean?;;11-Social
252. Do you know what I’m saying?;;Some people just don’t listen, do you know what I’m saying?<br>It’s exhausting, do you know what I’m saying?<br>The prices are ridiculous, do you know what I’m saying?<br>Life’s too short, do you know what I’m saying?<br>We need a break, do you know what I’m saying?;;11-Social
253. Right?;;This weather is awful, right?<br>Mondays are the worst, right?<br>Coffee is life, right?<br>We need a holiday, right?<br>Pizza is perfect, right?;;11-Social
254. Yeah.;;"Coming tonight?" "Yeah."<br>"Want another drink?" "Yeah."<br>"Cold today?" "Yeah."<br>"Good film?" "Yeah."<br>"Ready to go?" "Yeah.";;11-Social
255. Sure.;;"Can you help me?" "Sure."<br>"Mind if I sit here?" "Sure."<br>"Want some cake?" "Sure."<br>"Need a hand?" "Sure."<br>"Shall we go?" "Sure.";;11-Social
256. Of course.;;"Can I borrow your pen?" "Of course."<br>"Want me to drive?" "Of course."<br>"Need more time?" "Of course."<br>"Shall I wait?" "Of course."<br>"Help yourself." "Of course.";;11-Social
257. No problem.;;"Thanks for helping!" "No problem."<br>"Sorry I’m late." "No problem."<br>"Can you open the window?" "No problem."<br>"Mind if I call later?" "No problem."<br>"Thanks!" "No problem.";;11-Social
258. Don’t mention it.;;"Thank you so much!" "Don’t mention it."<br>"That was really kind." "Don’t mention it."<br>"Thanks for dinner!" "Don’t mention it."<br>"Appreciate the lift." "Don’t mention it."<br>"You saved me!" "Don’t mention it.";;11-Social
259. You’re welcome.;;"Thanks for the gift!" "You’re welcome."<br>"Thank you for coming." "You’re welcome."<br>"Thanks for the help." "You’re welcome."<br>"Appreciate it!" "You’re welcome."<br>"Thanks a million!" "You’re welcome.";;11-Social
260. Cheers!;;Here’s to your new job – cheers!<br>Cheers for the great night!<br>Cheers to the weekend!<br>Cheers, mate!<br>Cheers for coming!;;11-Social
261. Thanks a lot.;;Thanks a lot for the ride.<br>Thanks a lot for waiting.<br>Thanks a lot, really appreciate it.<br>Thanks a lot for the present.<br>Thanks a lot, you’re a star.;;11-Social
262. Thank you so much.;;Thank you so much for everything.<br>Thank you so much, it’s perfect.<br>Thank you so much for helping.<br>Thank you so much, I owe you.<br>Thank you so much, you’re amazing.;;11-Social
263. Bless you!;;(someone sneezes) Bless you!<br>Bless you! Hope you feel better.<br>Bless you! That was loud!<br>Bless you! Here’s a tissue.<br>Bless you! Gesundheit!;;11-Social
264. Good for you!;;You woke up at 5 a.m.? Good for you!<br>You quit smoking? Good for you!<br>You ran 10k? Good for you!<br>You ate healthy all week? Good for you!<br>You saved money? Good for you!;;11-Social
265. Lucky you!;;You’re going to Hawaii? Lucky you!<br>You won tickets? Lucky you!<br>You got the day off? Lucky you!<br>You found £20? Lucky you!<br>You met your idol? Lucky you!;;11-Social
266. Better luck next time.;;Didn’t win? Better luck next time.<br>Didn’t get the job? Better luck next time.<br>Lost the match? Better luck next time.<br>Rained on your picnic? Better luck next time.<br>Missed the train? Better luck next time.;;11-Social
267. Fingers crossed!;;I have an interview tomorrow – fingers crossed!<br>Fingers crossed for good weather!<br>Fingers crossed it arrives on time!<br>Fingers crossed you feel better!<br>Fingers crossed we win!;;11-Social
268. Touch wood!;;I haven’t been sick all year – touch wood!<br>My car’s still running – touch wood!<br>Business is good – touch wood!<br>No problems so far – touch wood!<br>Everything’s fine – touch wood!;;11-Social
269. Break a leg!;;Your exam is tomorrow? Break a leg!<br>Performance tonight? Break a leg!<br>Big presentation? Break a leg!<br>Good luck with the interview – break a leg!<br>Audition today? Break a leg!;;11-Social
270. Take care.;;I’m off now – take care.<br>Take care on the ice!<br>Take care driving home.<br>See you soon – take care.<br>Take care of yourself.;;11-Social
271. See you later.;;Got to go – see you later!<br>See you later, alligator!<br>See you later at the party.<br>Heading out – see you later.<br>See you later this evening.;;11-Social
272. Catch you later.;;I’m running – catch you later.<br>Catch you later at lunch?<br>Catch you later, dude.<br>Gotta go – catch you later.<br>Catch you later online.;;11-Social
273. Talk to you later.;;Can’t chat now – talk to you later.<br>Talk to you later, okay?<br>Busy now – talk to you later.<br>Talk to you later tonight.<br>See you soon – talk to you later.;;11-Social
