Front;;Back;;Tags
104. Because…;;I stayed home because I was feeling sick.<br>We’re late because the train was delayed.<br>I didn’t call because my phone died.<br>She smiled because she won the prize.<br>I’m smiling because it’s Friday.;;5-Reasons-Results
105. Since…;;Since it’s raining, let’s stay in.<br>Since you’re here, help me carry this.<br>Since nobody else volunteered, I’ll do it.<br>Since we have time, let’s grab coffee.<br>Since everyone agrees, let’s start.;;5-Reasons-Results
106. As…;;As I forgot my wallet, he paid.<br>As it was late, we took a taxi.<br>As she was tired, she went to bed early.<br>As the shop was closed, I came back empty-handed.<br>As I had nothing to do, I watched a movie.;;5-Reasons-Results
107. The reason why… is…;;The reason why I’m late is the traffic.<br>The reason why she left early is a headache.<br>The reason why I chose this is the price.<br>The reason why he failed is no revision.<br>The reason why we won is teamwork.;;5-Reasons-Results
108. That’s why…;;I studied all night – that’s why I’m tired.<br>It rained heavily – that’s why we stayed inside.<br>He shouted – that’s why she cried.<br>I saved money – that’s why I can travel.<br>We practised – that’s why we won.;;5-Reasons-Results
109. Due to…;;The match was cancelled due to rain.<br>Flight delayed due to fog.<br>School closed due to snow.<br>Event postponed due to illness.<br>Train late due to signal failure.;;5-Reasons-Results
110. Owing to…;;Owing to bad weather, we stayed home.<br>Owing to high demand, tickets sold out.<br>Owing to injury, he missed the game.<br>Owing to technical problems, the site is down.<br>Owing to lack of sleep, I’m exhausted.;;5-Reasons-Results
111. Thanks to…;;Thanks to your help, we finished early.<br>Thanks to the rain, the garden looks great.<br>Thanks to practice, I passed the test.<br>Thanks to luck, I found my keys.<br>Thanks to her advice, I got the job.;;5-Reasons-Results
112. On account of…;;Cancelled on account of illness.<br>Delayed on account of traffic.<br>Closed on account of renovations.<br>Postponed on account of bad weather.<br>Excused on account of a family emergency.;;5-Reasons-Results
113. The main reason is…;;The main reason is lack of time.<br>The main reason is the cost.<br>The main reason is poor planning.<br>The main reason is bad communication.<br>The main reason is simply laziness.;;5-Reasons-Results
114. It’s because…;;It’s because I left my keys inside.<br>It’s because nobody told me.<br>It’s because the battery died.<br>It’s because I overslept.<br>It’s because I trust you.;;5-Reasons-Results
115. What happened was…;;What happened was the car broke down.<br>What happened was I forgot my passport.<br>What happened was she changed her mind.<br>What happened was the shop ran out.<br>What happened was the alarm didn’t ring.;;5-Reasons-Results
116. As a result…;;I didn’t revise, as a result I failed.<br>It rained, as a result we got soaked.<br>He lied, as a result nobody trusts him.<br>She helped, as a result we finished early.<br>Prices rose, as a result sales dropped.;;5-Reasons-Results
117. Consequently…;;He missed the train; consequently he was late.<br>Sales dropped; consequently profits fell.<br>It snowed heavily; consequently school closed.<br>She shouted; consequently he left.<br>Demand increased; consequently prices rose.;;5-Reasons-Results
118. Therefore…;;It’s too expensive, therefore I won’t buy it.<br>We’re tired, therefore let’s stop.<br>She’s allergic, therefore no cats.<br>Time is short, therefore hurry up.<br>Nobody came, therefore we cancelled.;;5-Reasons-Results
119. So…;;It was late, so I took a taxi.<br>I was hungry, so I made a sandwich.<br>Nobody answered, so I left.<br>It started raining, so we went inside.<br>He apologised, so I forgave him.;;5-Reasons-Results
120. That’s how…;;That’s how I learned to cook.<br>That’s how we met.<br>That’s how I broke my phone.<br>That’s how the rumour started.<br>That’s how I ended up in Canada.;;5-Reasons-Results
121. Which explains why…;;He never studies, which explains why he fails.<br>She smiles a lot, which explains why everyone likes her.<br>Prices are high, which explains why sales are low.<br>It rained, which explains why the pitch is wet.<br>I’m quiet today, which explains why I seem off.;;5-Reasons-Results
122. Leading to…;;Poor planning leading to chaos.<br>Lack of sleep leading to mistakes.<br>Heavy rain leading to floods.<br>Good reviews leading to more customers.<br>Arguments leading to a breakup.;;5-Reasons-Results
123. This led to…;;This led to a huge argument.<br>This led to losing the contract.<br>This led to everyone leaving early.<br>This led to a complete disaster.<br>This led to finding a better solution.;;5-Reasons-Results
124. In turn…;;Higher sales increased profits, which in turn created jobs.<br>Stress affected sleep, which in turn affected work.<br>Good weather brought crowds, which in turn boosted sales.<br>One mistake caused panic, which in turn caused more errors.<br>Kindness inspired others, which in turn spread happiness.;;5-Reasons-Results
125. Eventually…;;We kept trying and eventually succeeded.<br>After hours of walking, we eventually found the hotel.<br>She ignored the warnings and eventually regretted it.<br>Prices kept rising and eventually became unaffordable.<br>He saved for years and eventually bought the car.;;5-Reasons-Results
126. Ultimately…;;Ultimately, the decision is yours.<br>Ultimately, health matters more than money.<br>Ultimately, we all want to be happy.<br>Ultimately, hard work paid off.<br>Ultimately, it was a huge success.;;5-Reasons-Results
127. For this reason…;;For this reason, I won’t be coming.<br>For this reason, we chose the cheaper option.<br>For this reason, the event is cancelled.<br>For this reason, phones are banned here.<br>For this reason, I always double-check.;;5-Reasons-Results
128. Because of that…;;I lost my passport. Because of that, I missed my flight.<br>He lied. Because of that, nobody trusts him now.<br>It rained. Because of that, the match was cancelled.<br>She helped me. Because of that, I passed.<br>They were late. Because of that, we started without them.;;5-Reasons-Results
