Front;;Back;;Tags
129. For example…;;Many countries, for example Japan, recycle a lot.<br>I love sports, for example football and tennis.<br>Some animals, for example pandas, are endangered.<br>It’s useful in many situations, for example interviews.<br>Big cities, for example London, never sleep.;;6-Examples
130. For instance…;;Some sports, for instance skydiving, are dangerous.<br>I hate loud noises, for instance fireworks.<br>Certain foods, for instance shellfish, cause allergies.<br>It works well indoors, for instance in classrooms.<br>Some jobs, for instance nursing, are very stressful.;;6-Examples
131. Like…;;Fruit like mangoes and papayas grow in tropical areas.<br>People like teachers and doctors work long hours.<br>Places like Paris and Rome are always busy.<br>Things like keys and phones are easy to lose.<br>Activities like running and swimming keep you fit.;;6-Examples
132. Such as…;;Outdoor activities such as hiking and camping are popular.<br>Subjects such as maths and physics are difficult.<br>Drinks such as coffee and tea contain caffeine.<br>Instruments such as guitar and piano are common.<br>Colours such as red and blue are primary.;;6-Examples
133. Take… for example.;;Take Elon Musk, for example – he works non-stop.<br>Take my brother, for example – he never studies but passes.<br>Take yesterday, for example – it rained all day.<br>Take Netflix, for example – it changed TV forever.<br>Take dogs, for example – they’re loyal companions.;;6-Examples
134. A good example is…;;A good example is how Netflix changed television.<br>A good example is my dad – he still writes letters.<br>A good example is Tokyo – trains run every two minutes.<br>A good example is Finland – happiest country again.<br>A good example is my phone – it’s already three years old.;;6-Examples
135. To give you an idea…;;To give you an idea, last month we sold 5,000 units.<br>To give you an idea, the queue was two hours long.<br>To give you an idea, I woke up at 4 a.m. to finish.<br>To give you an idea, the bill came to £300.<br>To give you an idea, it was minus ten degrees.;;6-Examples
136. You know…;;It’s super crowded, you know, like during Christmas.<br>He talks really fast, you know, impossible to follow.<br>The coffee here is amazing, you know, proper Italian.<br>She’s always late, you know, at least twenty minutes.<br>It’s really expensive, you know, over a thousand pounds.;;6-Examples
137. I mean…;;It’s not cheap, I mean, it costs over $1,000.<br>I was shocked, I mean, completely speechless.<br>He’s tall, I mean, over two metres.<br>It took forever, I mean, nearly three hours.<br>She’s smart, I mean, top of the class.;;6-Examples
138. You see…;;He never listens, you see, that’s the problem.<br>It’s complicated, you see, because of the rules.<br>We can’t go, you see, the car broke down.<br>I’m exhausted, you see, I didn’t sleep last night.<br>It’s broken, you see, the screen is cracked.;;6-Examples
139. Basically…;;Basically, we just copy what the teacher writes.<br>Basically, I’m saying no.<br>Basically, the plan failed.<br>Basically, nobody showed up.<br>Basically, it’s too expensive.;;6-Examples
140. In other words…;;He’s very direct. In other words, he can be rude.<br>It’s finished. In other words, no more work today.<br>She’s angry. In other words, don’t talk to her.<br>We lost. In other words, start again tomorrow.<br>I’m broke. In other words, can’t go out.;;6-Examples
141. What I mean is…;;What I mean is we should meet earlier.<br>What I mean is I don’t want to go.<br>What I mean is it’s not my fault.<br>What I mean is let’s cancel.<br>What I mean is I need help.;;6-Examples
142. Let me put it this way…;;Let me put it this way: no money, no holiday.<br>Let me put it this way: I’m not coming back.<br>Let me put it this way: we’re done.<br>Let me put it this way: choose now or lose it.<br>Let me put it this way: it’s perfect.;;6-Examples
143. To put it simply…;;To put it simply, we can’t afford it.<br>To put it simply, you’re wrong.<br>To put it simply, just say sorry.<br>To put it simply, it’s broken.<br>To put it simply, I quit.;;6-Examples
144. Kind of…;;It’s kind of yellow, not bright, more lemon.<br>The taste is kind of sweet but also sour.<br>It’s kind of cold today, isn’t it?<br>He’s kind of shy around new people.<br>The film was kind of boring.;;6-Examples
145. Sort of…;;The weather is sort of okay, not great.<br>It’s sort of blue, but more green actually.<br>I sort of understand, but not completely.<br>She sort of smiled, but looked sad.<br>It’s sort of working, but very slow.;;6-Examples
146. In a way…;;In a way, you’re right about the price.<br>In a way, moving was a good thing.<br>In a way, failing helped me learn.<br>In a way, he’s like a brother to me.<br>In a way, it’s already too late.;;6-Examples
147. Somehow…;;Somehow, the email got sent to everyone.<br>Somehow, I passed the exam.<br>Somehow, we finished on time.<br>Somehow, my keys ended up in the fridge.<br>Somehow, nobody noticed.;;6-Examples
148. Including…;;Everyone was there, including the CEO.<br>All fruits, including bananas and apples, are healthy.<br>The price includes everything, including taxes.<br>We invited thirty people, including neighbours.<br>Five countries, including Germany, agreed.;;6-Examples
149. Especially…;;I love fruit, especially strawberries.<br>It’s crowded, especially at weekends.<br>The north is beautiful, especially in autumn.<br>I hate waiting, especially in queues.<br>She works hard, especially under pressure.;;6-Examples
150. Particularly…;;The south of France, particularly Provence, is stunning.<br>I enjoy evenings, particularly Fridays.<br>This rule applies particularly to new students.<br>He dislikes noise, particularly loud music.<br>Winter here is cold, particularly January.;;6-Examples
151. Mainly…;;We stay home at weekends, mainly because we’re tired.<br>The visitors are mainly from Asia.<br>I use my phone mainly for work.<br>The delay was caused mainly by bad weather.<br>People quit mainly because of the salary.;;6-Examples
152. Mostly…;;The students are mostly from China.<br>I drink coffee mostly in the morning.<br>The crowd was mostly teenagers.<br>It’s mostly sunny this week.<br>I eat out mostly on Fridays.;;6-Examples
153. Let’s say…;;Let’s say you earn $5,000 a month after tax.<br>Let’s say we meet at seven – does that work?<br>Let’s say it rains – what’s plan B?<br>Let’s say ten people come – is that okay?<br>Let’s say I’m wrong – then what?;;6-Examples
