Front;;Back;;Tags
1. I think...;;I think we should leave in about ten minutes.<br>I think this is the best coffee I’ve ever had.<br>I think you’re going to love the surprise.<br>I think everyone needs at least eight hours of sleep.<br>I think it’s going to rain later.;;1-Opinions

2. I reckon...;;I reckon he’s about 40, give or take a few years.<br>I reckon we’ll finish before lunch if we start now.<br>I reckon they’ll win the cup this year.<br>I reckon that jacket cost at least three hundred pounds.<br>I reckon she’s still mad about last night.;;1-Opinions

3. I suppose...;;I suppose you’re right, but I still don’t like it.<br>I suppose we could try again tomorrow.<br>I suppose that’s one way of looking at it.<br>I suppose he forgot – it happens to everyone.<br>I suppose dinner will be ready soon.;;1-Opinions

4. In my opinion...;;In my opinion, this is the best pizza in town.<br>In my opinion, people work too much these days.<br>In my opinion, the book is always better than the movie.<br>In my opinion, everyone should learn a second language.<br>In my opinion, summer is the best season.;;1-Opinions

5. As far as I’m concerned...;;As far as I’m concerned, you can do whatever you want.<br>As far as I’m concerned, money can’t buy happiness.<br>As far as I’m concerned, weekends are never long enough.<br>As far as I’m concerned, coffee is better than tea.<br>As far as I’m concerned, the meeting was pointless.;;1-Opinions

6. The way I see it...;;The way I see it, we have two clear options.<br>The way I see it, remote work is here to stay.<br>The way I see it, he’s the best candidate.<br>The way I see it, we’re spending too much money.<br>The way I see it, now is the perfect time.;;1-Opinions

7. If you ask me...;;If you ask me, she’s making a big mistake.<br>If you ask me, the party was a total disaster.<br>If you ask me, we should just go home.<br>If you ask me, eight o’clock is too early.<br>If you ask me, this coffee tastes burnt.;;1-Opinions

8. Personally, I think...;;Personally, I think remote work is the future.<br>Personally, I think mornings are the most productive time.<br>Personally, I think everyone should read more books.<br>Personally, I think the new design looks amazing.<br>Personally, I think we worry too much about money.;;1-Opinions

9. To my mind...;;To my mind, honesty is always the best policy.<br>To my mind, travelling alone is the best way to learn.<br>To my mind, children should play outside more.<br>To my mind, the weekend starts on Friday evening.<br>To my mind, kindness costs nothing.;;1-Opinions

10. It seems to me that...;;It seems to me that everyone’s in a hurry these days.<br>It seems to me that prices keep going up.<br>It seems to me that she’s not very happy at work.<br>It seems to me that we need more holidays.<br>It seems to me that the city is getting noisier.;;1-Opinions

11. I’d say that...;;I’d say that about seventy percent of it is luck.<br>I’d say that was the best meal I’ve had all year.<br>I’d say that she’s the smartest person in the room.<br>I’d say that costs at least a thousand dollars.<br>I’d say that eight hours is the perfect amount of sleep.;;1-Opinions

12. From my point of view...;;From my point of view, it’s a complete waste of time.<br>From my point of view, health is more important than money.<br>From my point of view, we should start earlier.<br>From my point of view, the new rules are unfair.<br>From my point of view, experience matters more than degrees.;;1-Opinions

13. I believe that...;;I believe that hard work always pays off.<br>I believe that everyone deserves a second chance.<br>I believe that travel broadens the mind.<br>I believe that kindness comes back to you.<br>I believe that breakfast is the most important meal.;;1-Opinions

14. I’m pretty sure that...;;I’m pretty sure that I locked the door.<br>I’m pretty sure that she’s coming tomorrow.<br>I’m pretty sure that the meeting starts at ten.<br>I’m pretty sure that this is the right way.<br>I’m pretty sure that he forgot again.;;1-Opinions

15. I’m convinced that...;;I’m convinced that he’s the right person for the job.<br>I’m convinced that exercise improves mood.<br>I’m convinced that we made the right decision.<br>I’m convinced that quality beats quantity.<br>I’m convinced that she didn’t mean it.;;1-Opinions

16. It’s clear to me that...;;It’s clear to me that we need to act fast.<br>It’s clear to me that she’s upset.<br>It’s clear to me that prices are rising.<br>It’s clear to me that sleep matters most.<br>It’s clear to me that teamwork makes everything easier.;;1-Opinions

17. I tend to think that...;;I tend to think that most people are basically good.<br>I tend to think that mornings are more productive.<br>I tend to think that simple food tastes best.<br>I tend to think that walking beats driving.<br>I tend to think that books beat screens.;;1-Opinions

18. My take on it is...;;My take on it is we should just enjoy the moment.<br>My take on it is quality over quantity.<br>My take on it is she’s the best choice.<br>My take on it is less is more.<br>My take on it is honesty wins in the end.;;1-Opinions

19. I’m of the opinion that...;;I’m of the opinion that phones should be banned in class.<br>I’m of the opinion that eight hours sleep is essential.<br>I’m of the opinion that travel is the best education.<br>I’m of the opinion that music helps concentration.<br>I’m of the opinion that cash is dying out.;;1-Opinions

20. To be honest...;;To be honest, I’m exhausted after that hike.<br>To be honest, I didn’t enjoy the movie.<br>To be honest, I only came for the food.<br>To be honest, I have no idea what’s going on.<br>To be honest, I prefer staying home.;;1-Opinions

21. Frankly speaking...;;Frankly speaking, the service here is terrible.<br>Frankly speaking, your report needs more work.<br>Frankly speaking, we’re not ready yet.<br>Frankly speaking, I don’t like the new design.<br>Frankly speaking, this coffee is awful.;;1-Opinions

22. Honestly...;;Honestly, I didn’t expect to win.<br>Honestly, I’m not a big fan of horror films.<br>Honestly, I forgot your birthday.<br>Honestly, I have no clue where it is.<br>Honestly, I’d rather stay in tonight.;;1-Opinions

