Front;;Back;;Tags
Actually…;;I don’t hate it. Actually, I quite like it.<br>I thought it was easy. Actually, it was really hard.<br>I was going to say no. Actually, yes please.<br>It looks small. Actually, it’s huge inside.<br>I wasn’t tired. Actually, I was exhausted.;;8-Emphasis
In fact…;;It’s not cheap. In fact, it’s ridiculously expensive.<br>I don’t just like it. In fact, I love it.<br>He’s not upset. In fact, he’s delighted.<br>The traffic isn’t bad. In fact, it’s awful.<br>I didn’t sleep well. In fact, I didn’t sleep at all.;;8-Emphasis
As a matter of fact…;;As a matter of fact, I was just about to call you.<br>As a matter of fact, I’ve already finished.<br>As a matter of fact, I hate coffee.<br>As a matter of fact, she’s my cousin.<br>As a matter of fact, I was born in 1999.;;8-Emphasis
Believe it or not…;;Believe it or not, I used to be a DJ.<br>Believe it or not, I passed first time.<br>Believe it or not, he’s only 25.<br>Believe it or not, I’ve never left the country.<br>Believe it or not, I actually enjoyed it.;;8-Emphasis
To be honest…;;To be honest, I’m completely exhausted.<br>To be honest, I didn’t study at all.<br>To be honest, I only came for the food.<br>To be honest, I have no idea.<br>To be honest, I don’t really like parties.;;8-Emphasis
Seriously…;;Seriously, you need to stop eating junk food.<br>Seriously, that’s the best pizza ever.<br>Seriously, where have you been?<br>Seriously, this traffic is ridiculous.<br>Seriously, thank you so much.;;8-Emphasis
Definitely…;;This is definitely the best coffee in town.<br>You should definitely come tonight.<br>Definitely worth watching.<br>Definitely not going out in this rain.<br>Definitely buying another one.;;8-Emphasis
Absolutely…;;That’s absolutely correct.<br>Absolutely delicious!<br>Absolutely freezing outside.<br>Absolutely no way.<br>Absolutely love this song.;;8-Emphasis
Totally…;;I’m totally exhausted.<br>Totally agree with you.<br>Totally forgot about that.<br>Totally in love with this place.<br>Totally broke right now.;;8-Emphasis
Completely…;;Completely forgot your birthday.<br>Completely different from last time.<br>Completely understand.<br>Completely soaked.<br>Completely full – no more cake!;;8-Emphasis
Really…;;It’s really cold today.<br>Do you really mean that?<br>I really appreciate your help.<br>Really good news!<br>This is really annoying.;;8-Emphasis
Very…;;Thank you very much.<br>It’s very kind of you.<br>Very interesting idea.<br>Not very happy about this.<br>Very well done!;;8-Emphasis
Extremely…;;Extremely tired after the gym.<br>Extremely expensive restaurant.<br>Extremely happy with the result.<br>Extremely hot weather.<br>Extremely proud of you.;;8-Emphasis
Incredibly…;;Incredibly beautiful view.<br>Incredibly fast service.<br>Incredibly lucky escape.<br>Incredibly talented singer.<br>Incredibly busy week.;;8-Emphasis
Surprisingly…;;Surprisingly, nobody complained.<br>Surprisingly good coffee.<br>Surprisingly easy exam.<br>Surprisingly warm for December.<br>Surprisingly quiet tonight.;;8-Emphasis
Obviously…;;Obviously, we can’t go in this weather.<br>Obviously, I was joking.<br>Obviously, she’s upset.<br>Obviously, that’s not true.<br>Obviously, you’re tired.;;8-Emphasis
Clearly…;;Clearly, something needs to change.<br>Clearly, he doesn’t want to talk.<br>Clearly, this isn’t working.<br>Clearly, you’ve worked hard.<br>Clearly, it’s broken.;;8-Emphasis
No doubt…;;No doubt the best player on the team.<br>No doubt we’ll win.<br>No doubt she’s lying.<br>No doubt it’ll rain later.<br>No doubt you’re right.;;8-Emphasis
Without a doubt…;;Without a doubt the best meal I’ve had.<br>Without a doubt my favourite film.<br>Without a doubt the hardest exam.<br>Without a doubt worth the money.<br>Without a doubt coming again.;;8-Emphasis
Hands down…;;Hands down the best pizza in town.<br>Hands down the funniest person I know.<br>Hands down the worst traffic ever.<br>Hands down my favourite season.<br>Hands down winner.;;8-Emphasis
By far…;;By far the best coffee I’ve tasted.<br>By far the most difficult part.<br>By far the coldest winter.<br>By far the strangest day.<br>By far the biggest mistake.;;8-Emphasis
Literally…;;I’m literally dying of laughter.<br>Literally shaking with excitement.<br>Literally haven’t slept in days.<br>Literally the best news ever.<br>Literally freezing in here.;;8-Emphasis
Pretty much…;;Pretty much finished the project.<br>Pretty much the same every day.<br>Pretty much broke after shopping.<br>Pretty much perfect weather.<br>Pretty much impossible to find.;;8-Emphasis
Basically…;;Basically, we’re out of time.<br>Basically, you just press this button.<br>Basically, nobody cares.<br>Basically, it’s impossible.<br>Basically, yes please!;;8-Emphasis
Essentially…;;Essentially, we’re saying the same thing.<br>Essentially, it’s ready to go.<br>Essentially, nothing has changed.<br>Essentially, I agree with you.<br>Essentially, it’s too late.;;8-Emphasis
